FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,terrain,activite_statut,etablissement_categorie,toilette_type,terrain_sport,geometry,latitude,longitude,annee_creation,region,type,statut,nom
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5eaf,Plateaux,Kloto,Kloto 3,Kouma,DUNYO,Centre Rurale d'Activité Sociaux Éducatif,Neant,"{Jeudi,Mardi,Mercredi,Vendredi,lundi}",1976,,,,,,POINT (0.5934314761286296 6.981183485251623),0.5934314761286296,6.981183485251623,1976.0,Plateaux,Formation Professionnelle,Inconnu,Centre Rurale d'Activité Sociaux Éducatif
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5eae,Plateaux,Ogou,Ogou 1,Gnagna,Lomnava,Complexe Technique Excellence (CTE),"Complexe Technique Excellence, Gnagna","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",Nsp,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.1280671568539027 7.520031982585708),1.1280671568539027,7.520031982585708,,Plateaux,Formation Professionnelle autre,Prive - individuel,Complexe Technique Excellence (CTE)
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5ead,Savanes,Tône,Tône 1,Dapaong,N/a,Centre des Métiers de Dapaong Bonita Haus,Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,N/a,Non,POINT (0.201008 10.87326),0.201008,10.87326,,Savanes,Nsp,Nsp,Centre des Métiers de Dapaong Bonita Haus
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5eac,Plateaux,Amou,Amou 2,Sodo,Sodo,Centre de Formation Technique et Professionnelle de Sodo,BP 06 Kpele Ele,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2005,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Nsp,Nsp,Non,POINT (0.8235615191080674 7.310607262237098),0.8235615191080674,7.310607262237098,2005.0,Plateaux,Nsp,Domaine public de l'etat ou des collectivites territoriales,Centre de Formation Technique et Professionnelle de Sodo
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5eab,Maritime,Golfe,Golfe 5,Aflao-Gakli,Agbalepedogan,Centre d'Enseignement Technique et Information les Talents,05 BP860 - Lomé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2000,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.20187477985314 6.195758085687791),1.20187477985314,6.195758085687791,2000.0,Maritime,Formation Professionnelle autre,Prive - individuel,Centre d'Enseignement Technique et Information les Talents
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5eaa,Maritime,Golfe,Golfe 1,Bè-Est,Adakpame,Ecole de Coupe de Couture et de Perfectionnement Style Tahiti,"Ecole de Coupe de Couture et de Perfectionnement Style Tahiti,","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Nsp,POINT (1.2827233333333325 6.169571666666668),1.2827233333333325,6.169571666666668,,Maritime,Formation Professionnelle autre,Prive - individuel,Ecole de Coupe de Couture et de Perfectionnement Style Tahiti
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5ea9,Maritime,Golfe,Golfe 3,Bè-Ouest,N/a,Centre d'Entrainement des Jeunes à l'initiative Privée (CEJIP),Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,N/a,Non,POINT (1.228436121591839 6.157707218570282),1.228436121591839,6.157707218570282,,Maritime,Nsp,Nsp,Centre d'Entrainement des Jeunes à l'initiative Privée (CEJIP)
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5ea8,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Léo 200,Ecole de Coupe de Couture et de Perfectionnement Style Tahiti,"Immeuble en face du lycée le Jourdain pas loin de Limousine, 90183990","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2008,Prive - individuel,{Construit et Utilise},Formation profesionnelle autre,N/a,Non,POINT (1.182498494593492 6.205760088438976),1.182498494593492,6.205760088438976,2008.0,Maritime,Formation profesionnelle autre,Prive - individuel,Ecole de Coupe de Couture et de Perfectionnement Style Tahiti
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5ea7,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,N/a,Centre d'Information et d'Orientation Professionnelle d'Agoe (CIFOP-Itas),"Cifop Itas, Agoe Nyve","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2008,Nsp,Nsp,Nsp,Nsp,Nsp,POINT (1.2039446080806466 6.232256442763505),1.2039446080806466,6.232256442763505,2008.0,Maritime,Nsp,Nsp,Centre d'Information et d'Orientation Professionnelle d'Agoe (CIFOP-Itas)
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5ea6,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),N/a,Institut Polytechnique la Source de Savoir,Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,N/a,Non,POINT (1.1375360232989327 8.98354469212119),1.1375360232989327,8.98354469212119,,Centrale,Nsp,Nsp,Institut Polytechnique la Source de Savoir
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5ea5,Maritime,Golfe,Golfe 3,Bè-Ouest,TOKOIN TAME,Centre de Formation aux Métiers de l'Industrie (CFMI),Nsp,"{Lundi,Mercredi,Mardi,jeudi,Vendredi}",2015,Domaine prive de l'Etat ou des collectivites territoriales,{Construit et Utilise},Licence,N/a,Non,POINT (1.22334688291354 6.167924848213879),1.22334688291354,6.167924848213879,2015.0,Maritime,Licence,Domaine prive de l'Etat ou des collectivites territoriales,Centre de Formation aux Métiers de l'Industrie (CFMI)
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5ea4,Maritime,Golfe,Golfe 3,Bè-Ouest,N/a,Centre de Formation Bancaire du Togo (CFBT),Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,N/a,Non,POINT (1.22352 6.167708),1.22352,6.167708,,Maritime,Nsp,Nsp,Centre de Formation Bancaire du Togo (CFBT)
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5ea3,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Adidoadin,Centre de Formation Professionnelle Dtech Group,"Cfp Dtech Group, Agoe Nyive",Nsp,Nsp,Nsp,{Construit et Utilise},CAP,Nsp,Nsp,POINT (1.1867997800610846 6.20958396259766),1.1867997800610846,6.20958396259766,,Maritime,CAP,Nsp,Centre de Formation Professionnelle Dtech Group
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5ea2,Maritime,Golfe,Golfe 3,Bè-Ouest,Universite De Lome,Campus Sud Enfs Universite de Lomé,"Campus Sud, Bé","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1966,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.2130116537404618 6.171082786885522),1.2130116537404618,6.171082786885522,1966.0,Maritime,Formation Professionnelle autre,Domaine public de l'etat ou des collectivites territoriales,Campus Sud Enfs Universite de Lomé
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5ea1,Plateaux,Haho,Haho 1,Notsé,N/a,Centre de Formation Professionnelle et Prestation de de Services (CFPPS) KING's TECH,Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,N/a,Non,POINT (1.1621666666666668 6.946574999999987),1.1621666666666668,6.946574999999987,,Plateaux,Nsp,Nsp,Centre de Formation Professionnelle et Prestation de de Services (CFPPS) KING's TECH
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5ea0,Maritime,Golfe,Golfe 3,Bè-Ouest,Tokoin,Institut Bebella,14 BP 13,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Prive - individuel,{Construit et Utilise},CAP,{WCs},Non,POINT (1.2242156216295899 6.15317918143724),1.2242156216295899,6.15317918143724,,Maritime,CAP,Prive - individuel,Institut Bebella
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e9f,Plateaux,Haho,Haho 1,Notsé,Dossa,Centre de Formation Technique et Professionnelle de Notse,"Cftp Notse, Notse","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",2015,Domaine prive de l'etat ou des collectivites territoriales,"{Construit et Utilise,En construction}",CAP,{WCs},Non,POINT (1.1701289223571587 6.947851003713211),1.1701289223571587,6.947851003713211,2015.0,Plateaux,CAP,Domaine prive de l'etat ou des collectivites territoriales,Centre de Formation Technique et Professionnelle de Notse
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e9e,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Kligue Kondji,Centre Agerto,BP 633 Kpalimé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1999,Domaine prive de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Latrines a eau,Douches}",Non,POINT (0.6234935076747045 6.904184811591529),0.6234935076747045,6.904184811591529,1999.0,Plateaux,Formation Professionnelle autre,Domaine prive de l'etat ou des collectivites territoriales,Centre Agerto
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e9d,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Legbassokpe,Centre Catholique de Formation Technique et Professionnelle Madre Agatha Carelli,"Ccftp Madre Agata Carelli Lycee, Agoe 2","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Oui,POINT (1.164600139208641 6.2596303653102785),1.164600139208641,6.2596303653102785,,Maritime,Formation Professionnelle autre,Prive - individuel,Centre Catholique de Formation Technique et Professionnelle Madre Agatha Carelli
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e9c,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Gbonve,Centre de Formation Professionnelle le Record,"Carrefour Total Minamadou, Agoe Assiyeye, Lomé","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2021,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1932216666666675 6.224711666666667),1.1932216666666675,6.224711666666667,2021.0,Maritime,Formation Professionnelle autre,Prive - individuel,Centre de Formation Professionnelle le Record
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e9b,Maritime,Golfe,Golfe 1,Bè-Est,Ablogame,Centre de Formation Professionnelle Marie Dominique Mazzarello,06 BP 61184,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,POINT (1.2617577186637805 6.137721296984019),1.2617577186637805,6.137721296984019,,Maritime,Nsp,Nsp,Centre de Formation Professionnelle Marie Dominique Mazzarello
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e9a,Savanes,Kpendjal,Kpendjal 2,Borgou,Yanyane,Centre de Formation Technique et Professionnelle de Borgou,"Centre de Formation Technique et Professionnelle de Borgou, Borgou","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2020,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,{Douches},Non,POINT (0.5904129325324127 10.79833535717918),0.5904129325324127,10.79833535717918,2020.0,Savanes,Formation Professionnelle autre,Domaine public de l'etat ou des collectivites territoriales,Centre de Formation Technique et Professionnelle de Borgou
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e99,Savanes,Cinkassé,Cinkassé 1,Cinkassé,Kpalbiak,Centre de Formation Technique et Professionnelle de Cinkanse,"Centre de Formation Technique et Professionnelle, Cinkansse","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2014,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},CAP,Nsp,Non,POINT (0.0375028338546724 11.091900622500976),0.0375028338546724,11.091900622500976,2014.0,Savanes,CAP,Domaine public de l'etat ou des collectivites territoriales,Centre de Formation Technique et Professionnelle de Cinkanse
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e98,Kara,Binah,Binah 1,Pagouda,Kpeloude,Centre de Formation Technique et Professionnelle de Pagouda,"Cftp de Pagouda, Pagouda","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2012,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,{Latrines seches},Oui,POINT (1.3262211023086659 9.762202540668456),1.3262211023086659,9.762202540668456,2012.0,Kara,Formation Professionnelle autre,Prive - entreprise,Centre de Formation Technique et Professionnelle de Pagouda
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e97,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Kpalime,Centre de Formation Technique et Professionnelle La Grace,BP 142,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2018,Prive - individuel,{Construit et Utilise},CAP,{Douches},Non,POINT (0.6305554654943881 6.916893733146727),0.6305554654943881,6.916893733146727,2018.0,Plateaux,CAP,Prive - individuel,Centre de Formation Technique et Professionnelle La Grace
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e96,Maritime,Golfe,Golfe 3,Bè-Ouest,Tokoin Habitat,Centre Informatique de Formation et d'Orientation Professionnelles (CIFOP),BP.80585,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1992,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Latrines a eau}",Non,POINT (1.2050181960996555 6.147985024905347),1.2050181960996555,6.147985024905347,1992.0,Maritime,Formation Professionnelle autre,Prive - entreprise,Centre Informatique de Formation et d'Orientation Professionnelles (CIFOP)
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e95,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Kpalime,Centre Regional d'Enseignement Technique et de Fomation Professionnelle de Kpalime,BP 94,"{Vendredi,jeudi,Mercredi,Mardi,Lundi}",2001,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Douches}",Oui,POINT (0.6262869612012368 6.920403509630391),0.6262869612012368,6.920403509630391,2001.0,Plateaux,Formation Professionnelle autre,Domaine public de l'etat ou des collectivites territoriales,Centre Regional d'Enseignement Technique et de Fomation Professionnelle de Kpalime
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e94,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agbokope,Complexe Scolaire la Parole,"Formation Technique la Parole, Legbassito","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Prive - individuel,{Construit et Utilise},CAP,Nsp,Non,POINT (1.163670096267708 6.245989827867737),1.163670096267708,6.245989827867737,,Maritime,CAP,Prive - individuel,Complexe Scolaire la Parole
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e93,Maritime,Golfe,Golfe 1,Bè-Est,Kagnikope,Centre Regional d'Enseignement Technique et de Fomation Professionnelle Région Maritime,"Cretfp Rm, Be Kpota","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,Nsp,Oui,POINT (1.2955030742652534 6.157796121461548),1.2955030742652534,6.157796121461548,,Maritime,Formation Professionnelle autre,Domaine public de l'etat ou des collectivites territoriales,Centre Regional d'Enseignement Technique et de Fomation Professionnelle Région Maritime
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e92,Maritime,Yoto,Yoto 1,Kouvé,N/a,College Chris Roi de Kouvé,Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,N/a,Non,POINT (1.414991 6.659665),1.414991,6.659665,,Maritime,Nsp,Nsp,College Chris Roi de Kouvé
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e91,Maritime,Golfe,Golfe 1,Bè-Est,N/a,Collège d'Enseignement Technique La Lumière,"Cet La Lumiere, Be","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2015,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.236692409185531 6.132934187601652),1.236692409185531,6.132934187601652,2015.0,Maritime,Formation Professionnelle autre,Prive - individuel,Collège d'Enseignement Technique La Lumière
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e90,Maritime,Golfe,Golfe 3,Bè-Ouest,Tokoin Tame,College Technique la Revelation,"College Technique la Revelation, Be","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2002,Prive - individuel,{Construit et Utilise},CAP,{WCs},Oui,POINT (1.2282113680482571 6.162390547563502),1.2282113680482571,6.162390547563502,2002.0,Maritime,CAP,Prive - individuel,College Technique la Revelation
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e8f,Maritime,Golfe,Golfe 1,Bè-Est,Be,Complexe Polytechnique Ora et Labora,04 BP 6195,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1970,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.2391460627816566 6.140234488572422),1.2391460627816566,6.140234488572422,1970.0,Maritime,Formation Professionnelle autre,Prive - individuel,Complexe Polytechnique Ora et Labora
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e8e,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Logope,Complexe Scolaire Privé La Fabienne,"Institut Technique la Fabienne 1, Agoe Nyive 1","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2003,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1810909537066794 6.2252055564781426),1.1810909537066794,6.2252055564781426,2003.0,Maritime,Formation Professionnelle autre,Prive - individuel,Complexe Scolaire Privé La Fabienne
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e8d,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Tchawanda,Ecole des Micro Entrepreneur du Centre,BP 159,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2004,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1335013018727313 8.983420496556782),1.1335013018727313,8.983420496556782,2004.0,Centrale,Formation Professionnelle autre,Prive - individuel,Ecole des Micro Entrepreneur du Centre
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e8c,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Adida,"Ecole Polytechnique d'Informatique, d'Électronique et de Gestion d'Adetikope","Ecole Polytechnique D'In Formatique d'Électronique et de Gestion, Adetikope","{""jeudi"",""Lundi"",""Mardi"",""Mercredi"",""Vendredi""}",Nsp,Prive - individuel,{autre},Nsp,Nsp,Non,POINT (1.2242933333333332 6.331918333333334),1.2242933333333332,6.331918333333334,,Maritime,Nsp,Prive - individuel,"Ecole Polytechnique d'Informatique, d'Électronique et de Gestion d'Adetikope"
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e8b,Maritime,Golfe,Golfe 1,Bè-Est,Anfame,"Ecole Polytechnique d'Informatique, d'Electronique et de Gestion d'Afname",BP 10210 Lomé Aviation,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1998,Nsp,{Construit et Utilise},Formation Professionnelle autre,"{Douches,WCs}",Non,POINT (1.2743146965798373 6.165275461510318),1.2743146965798373,6.165275461510318,1998.0,Maritime,Formation Professionnelle autre,Nsp,"Ecole Polytechnique d'Informatique, d'Electronique et de Gestion d'Afname"
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e8a,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Adeticope,Ecole Technique de Formation Professionnelle La Volonte,"Lycee Technique La Volonte, Adetikope","{""jeudi"",""Lundi"",""Mardi"",""Mercredi"",""Vendredi""}",Nsp,Ne sait pas,{Ferme},Nsp,Nsp,Nsp,POINT (1.2285488109494496 6.3269284484874735),1.2285488109494496,6.3269284484874735,,Maritime,Nsp,Ne sait pas,Ecole Technique de Formation Professionnelle La Volonte
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e89,Maritime,Golfe,Golfe 1,Bè-Est,Adakpame Danwipé,Groupe Scolaire Les Cours Millenaires de l'Afrique de L'Ouest (GS-CMAO),"Groupe Scolaire les Cours_Millenaires de L'Ouest, Be","{""jeudi"",""Lundi"",""Mardi"",""Mercredi"",""Vendredi""}",2019,Prive - individuel,{Ferme},N/a,Nsp,Non,POINT (1.2861360685147563 6.169487217344224),1.2861360685147563,6.169487217344224,2019.0,Maritime,N/a,Prive - individuel,Groupe Scolaire Les Cours Millenaires de l'Afrique de L'Ouest (GS-CMAO)
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e88,Maritime,Golfe,Golfe 6,Baguida,Avepozo,Institut Bilingue Libre du Togo,"Institut Bilingue Libre du Togo, Baguida","{""jeudi"",""Lundi"",""Mardi"",""Mercredi"",""Vendredi""}",Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,POINT (1.3527768244611604 6.174584699262539),1.3527768244611604,6.174584699262539,,Maritime,Nsp,Nsp,Institut Bilingue Libre du Togo
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e87,Maritime,Golfe,Golfe 6,Baguida,Kpogan,Institut d'Enseignement General et Technique Sainte Catherine,12 BP294,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2009,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Oui,POINT (1.3774902351322336 6.186194391087172),1.3774902351322336,6.186194391087172,2009.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut d'Enseignement General et Technique Sainte Catherine
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e86,Maritime,Golfe,Golfe 1,Bè-Est,Be Pa-desouza,Institut de Coupe de Couture Style et Perfectionne Style Cesar,BP 60558,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2012,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Douches}",Non,POINT (1.246570219014485 6.142533033407403),1.246570219014485,6.142533033407403,2012.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut de Coupe de Couture Style et Perfectionne Style Cesar
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e85,Plateaux,Kloto,Kloto 1,Tové,Tove,Institut de Formation Agricole de Tove,BP 401 Kpalimé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1980,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Licence,Nsp,Oui,POINT (0.6455883333333338 6.882958333333332),0.6455883333333338,6.882958333333332,1980.0,Plateaux,Licence,Domaine public de l'etat ou des collectivites territoriales,Institut de Formation Agricole de Tove
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e84,Maritime,Golfe,Golfe 1,Bè-Est,Kpota,Institut de Formation des Génis Industriels (IFGI),"Lycee Technique Ifgi, Bè","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,Nsp,{Construit et Utilise},BTS,{WCs},Non,POINT (1.2665160073923913 6.166526023740907),1.2665160073923913,6.166526023740907,,Maritime,BTS,Nsp,Institut de Formation des Génis Industriels (IFGI)
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e83,Maritime,Golfe,Golfe 4,Amoutivé,Quartier administratif,Institut National de Formation et de Perfectionnement Professionnel (INFPP),Lome 01BP1005,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1964,Domaine prive de l'Etat ou des collectivites territoriales,{Construit et Utilise},Formation profesionnelle autre,"{WCs,Pissotieres}",Non,POINT (1.2176797136031485 6.132705404234757),1.2176797136031485,6.132705404234757,1964.0,Maritime,Formation profesionnelle autre,Domaine prive de l'Etat ou des collectivites territoriales,Institut National de Formation et de Perfectionnement Professionnel (INFPP)
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e82,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Nanegbe,"Complexe Scolaire ""Immaculee""","Cspl Immaculee Lycee Technique, Vakpossito","{Mardi,Lundi,Mercredi,jeudi,Vendredi}",2018,Prive - individuel,{Inacheve},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.1515310189393009 6.227809402699144),1.1515310189393009,6.227809402699144,2018.0,Maritime,Formation Professionnelle autre,Prive - individuel,"Complexe Scolaire ""Immaculee"""
